,word,English,Arabic
104,“Near” – قريب (Qarib),“Near” , قريب (Qarib)
105,“Far” – بعيد (Ba’id),“Far” , بعيد (Ba’id)
106,"“Good, nice” – جيد (Jayyed)","“Good, nice” ", جيد (Jayyed)
107,“Bad” – سيء (Saye’),“Bad” , سيء (Saye’)
108,“Easy” – سهل (Sahl),“Easy” , سهل (Sahl)
109,“Difficult” – صعب (Saab),“Difficult” , صعب (Saab)
110,“Beautiful” – جميل (Jamil),“Beautiful” , جميل (Jamil)
111,“Ugly” – قبيح (QabiH),“Ugly” , قبيح (QabiH)
112,“Delicious” – لذيذ (Laziz),“Delicious” , لذيذ (Laziz)
113,“Hot” – سخن (Sakhn),“Hot” , سخن (Sakhn)
114,“Cold” – بارد (Bared),“Cold” , بارد (Bared)
115,“Very” – جدا (Jidan),“Very” , جدا (Jidan)
116,"“But, however” – لكن (Lakin)","“But, however” ", لكن (Lakin)
117,“Also” – و (Wa),“Also” , و (Wa)
118,“For example” – مثلا (Mathalan),“For example” , مثلا (Mathalan)
119,“So” – لذا (leza),“So” , لذا (leza)
120,“Then” – ثم (Thomma) or بعدها (baedaha),“Then” , ثم (Thomma) or بعدها (baedaha)
121,“What’s up?” – لاباس عليك؟ (Labas ‘lik?),“What’s up?” , لاباس عليك؟ (Labas ‘lik?)
122,“I want to go.” – بغيت نمشي (Brit nmchi),“I want to go.” , بغيت نمشي (Brit nmchi)
123,“I want” – بغيت (Brit),“I want” , بغيت (Brit)
124,“Do you understand me?” – فهمتيني؟ (Fhemtini?),“Do you understand me?” , فهمتيني؟ (Fhemtini?)
125,“What is it?” – شنو هادا؟ (Shnu hada?),“What is it?” , شنو هادا؟ (Shnu hada?)
126,“How much is it?” – شحال هادا؟ (Shehal hada?),“How much is it?” , شحال هادا؟ (Shehal hada?)
127,“That is too expensive.” – هادا غالي بزاف (Hada rali bezzaf),“That is too expensive.” , هادا غالي بزاف (Hada rali bezzaf)
128,"“No, that is too much” – لا,هادشي بزاف (La, hadchi bezzaf)","“No, that is too much” "," لا,هادشي بزاف (La, hadchi bezzaf)"
129,“This is a good price” – هادا ثمن مزيان (Hada taman mezyan),“This is a good price” , هادا ثمن مزيان (Hada taman mezyan)
130,“I need…” – خصني (Khassni),“I need…” , خصني (Khassni)
131,“All clear” – صافي (Safi),“All clear” , صافي (Safi)
132,“All right” – واخا (Wakha),“All right” , واخا (Wakha)
133,“God willing” – ان شاء الله (Insha-Allah),“God willing” , ان شاء الله (Insha-Allah)
134,“Let’s go.” – يلاه (Yallah),“Let’s go.” , يلاه (Yallah)
135,“Nothing” – والو (Walou),“Nothing” , والو (Walou)
